district,address,longitude,latitude,total_price,unit_price,
大安區,臺北市大安區復興南路二段181號,121.543682,25.026848,124872,1595,
信義區,臺北市信義區基隆路二段151號,121.554807,25.026167,70000,367,
信義區,臺北市信義區基隆路二段121號,121.557072,25.028451,42045,462,
信義區,臺北市信義區嘉興街241號,121.556046,25.025164,160000,303,
士林區,臺北市士林區文林路91號,121.525982,25.08787,400000,1436,
中山區,臺北市中山區林森北路241號,121.525557,25.054139,336000,2002,
大同區,臺北市大同區大龍街91號,121.516093,25.06716,19500,503,
大同區,臺北市大同區寧夏路91號,121.514871,25.059674,45408,474,
大安區,臺北市大安區浦城街13巷1號,121.527099,25.02457,147576,619,
松山區,臺北市松山區南京東路五段391號,121.569358,25.051571,62436,516,
松山區,臺北市松山區長春路331號,121.544401,25.05468,262500,695,
文山區,臺北市文山區景文街31號,121.541429,24.992427,100000,860,
大同區,臺北市大同區南京西路61號,121.519086,25.053089,180000,1017,
大同區,臺北市大同區民生西路391號,121.509689,25.057004,43000,371,
萬華區,臺北市萬華區雙園街18巷1號,121.494486,25.02918,28000,183,
松山區,臺北市松山區民生東路五段36巷4弄1號,121.55718,25.057855,35000,1143,
松山區,臺北市松山區南京東路五段251巷24弄1號,121.56495,25.052353,50000,415,
士林區,臺北市士林區忠誠路一段31號,121.527282,25.104224,145000,697,
萬華區,臺北市萬華區康定路61號,121.502214,25.040986,36000,542,
萬華區,臺北市萬華區和平西路三段31號,121.503844,25.034869,35000,518,
內湖區,臺北市內湖區內湖路一段31號,121.558794,25.085218,220000,188,
松山區,臺北市松山區南京東路五段211號,121.563965,25.051611,52500,640,
中正區,臺北市中正區重慶南路一段121號,121.513344,25.042257,56818,872,
中山區,臺北市中山區明水路571號,121.551502,25.079899,222222,698,
內湖區,臺北市內湖區成功路二段426巷1號,121.589503,25.071461,30000,332,
中正區,臺北市中正區羅斯福路二段151號,121.520401,25.029797,120000,500,
中山區,臺北市中山區中山北路二段59巷1號,121.523165,25.05595,24200,463,
大安區,臺北市大安區忠孝東路三段271號,121.542632,25.041946,180000,1881,
南港區,臺北市南港區富康街31號,121.617321,25.053539,29000,214,
中正區,臺北市中正區延平南路1號,121.511053,25.046892,150000,366,
中正區,臺北市中正區延平南路1號,121.511053,25.046892,300000,392,
文山區,臺北市文山區景興路181號,121.544406,24.992804,110000,187,
萬華區,臺北市萬華區漢中街91號,121.507349,25.043415,1050000,6126,
北投區,臺北市北投區石牌路二段31號,121.515511,25.115991,210000,1252,
中正區,臺北市中正區開封街一段1號,121.514522,25.046013,170000,558,
大安區,臺北市大安區安和路二段171巷1號,121.550185,25.028164,62000,952,
信義區,臺北市信義區吳興街345巷1號,121.565942,25.026662,35000,490,
松山區,臺北市松山區敦化北路222巷31號,121.547418,25.059916,130000,682,
文山區,臺北市文山區興隆路二段203巷1號,121.549303,25.001247,30000,305,
文山區,臺北市文山區景興路211號,121.543852,24.991604,33000,293,
內湖區,臺北市內湖區成功路四段30巷28弄1號,121.591916,25.082774,33000,463,
信義區,臺北市信義區虎林街164巷31號,121.574959,25.038959,35000,490,
中山區,臺北市中山區明水路475巷1號,121.551401,25.078056,60000,395,
松山區,臺北市松山區民生東路四段61號,121.550792,25.058032,55000,848,
大安區,臺北市大安區信義路四段265巷31號,121.555238,25.034622,107844,1064,
內湖區,臺北市內湖區民權東路六段56巷1號,121.584931,25.068269,45000,550,
大安區,臺北市大安區信義路三段181號,121.543582,25.033312,135000,1817,
萬華區,臺北市萬華區康定路56巷1號,121.502178,25.042845,40000,179,
大安區,臺北市大安區羅斯福路三段151號,121.527571,25.021633,80000,890,
中正區,臺北市中正區和平西路二段121號,121.506291,25.032792,30000,324,
大安區,臺北市大安區安和路二段1號,121.552602,25.032935,80000,1897,
信義區,臺北市信義區基隆路二段121號,121.557072,25.028451,49000,411,
大安區,臺北市大安區建國南路二段1號,121.538155,25.033247,18000,469,
大安區,臺北市大安區和平東路三段91號,121.550606,25.024659,45000,1504,
信義區,臺北市信義區忠孝東路五段481號,121.577507,25.041016,85000,465,
中山區,臺北市中山區民生東路二段115巷1號,121.531633,25.058216,20000,661,
內湖區,臺北市內湖區康寧路二段504巷1號,121.590948,25.080759,62500,657,
士林區,臺北市士林區中山北路六段181號,121.524914,25.107688,140000,350,
信義區,臺北市信義區吳興街345巷1號,121.565942,25.026662,27000,361,
內湖區,臺北市內湖區成功路四段182巷8弄1號,121.5935,25.084177,36000,414,
內湖區,臺北市內湖區金湖路391號,121.603722,25.073339,146000,635,
中山區,臺北市中山區樂群三路31號,121.552568,25.082845,107844,609,
大安區,臺北市大安區信義路四段241號,121.553243,25.033381,185000,2331,
大安區,臺北市大安區四維路198巷31弄1號,121.545922,25.027375,22704,451,
信義區,臺北市信義區永吉路511號,121.579849,25.045555,125000,779,
北投區,臺北市北投區中央北路二段31號,121.495637,25.136594,75400,657,
大安區,臺北市大安區通化街171巷31號,121.555423,25.027694,30000,817,
松山區,臺北市松山區復興南路一段1號,121.544107,25.047366,124872,1674,
中山區,臺北市中山區敬業一路91號,121.552113,25.082988,350000,603,
中山區,臺北市中山區敬業一路91號,121.552113,25.082988,350000,603,
中山區,臺北市中山區明水路541號,121.551815,25.078524,65000,525,
內湖區,臺北市內湖區文德路22巷9弄31號,121.580675,25.076224,24700,356,
